Confirm,,,,,,,,,,,
Area Settings,Anywhere,Same Area,,,,,,,,,
Set Lowest Rank,No Settings,RANK F,RANK E,RANK D,RANK C,RANK B,RANK A,RANK S,,,
Set Highest Rank,No Settings,RANK F,RANK E,RANK D,RANK C,RANK B,RANK A,RANK S,,,
Communication Speed Settings,Anyone,1 or more,2 or more,3 or more,Only 4,,,,,,
Match Completion Rate,Any,Top Ranking Only,,,,,,,,,
Hardware,Any,Same as you,,,,,,,,,
Allow Share Functions,Any,Allow,Not Allowed,,,,,,,,,
Same Player,Allow,Do Not Allow Until Next Search,Not Allowed,,,,,,,,,
Revert to Defaults,,,,,,,,,,,






